00501,Holtsville,,NY,America/New_York
00544,Holtsville,,NY,America/New_York
00601,Adjuntas,,PR,America/Puerto_Rico
00602,Aguada,,PR,America/Puerto_Rico
00603,Aguadilla,Ramey,PR,America/Puerto_Rico
00604,Aguadilla,Ramey,PR,America/Puerto_Rico
00605,Aguadilla,,PR,America/Puerto_Rico
00606,Maricao,,PR,America/Puerto_Rico
00610,Anasco,,PR,America/Puerto_Rico
00611,Angeles,,PR,America/Puerto_Rico
00612,Arecibo,,PR,America/Puerto_Rico
00613,Arecibo,,PR,America/Puerto_Rico
00614,Arecibo,,PR,America/Puerto_Rico
00616,Bajadero,,PR,America/Puerto_Rico
00617,Barceloneta,,PR,America/Puerto_Rico
00622,Boqueron,,PR,America/Puerto_Rico
00623,Cabo Rojo,,PR,America/Puerto_Rico
00624,Penuelas,,PR,America/Puerto_Rico
00627,Camuy,,PR,America/Puerto_Rico
00631,Castaner,Adjuntas,PR,America/Puerto_Rico
00636,Rosario,,PR,America/Puerto_Rico
00637,Sabana Grande,,PR,America/Puerto_Rico
00638,Ciales,,PR,America/Puerto_Rico
00641,Utuado,,PR,America/Puerto_Rico
00646,Dorado,,PR,America/Puerto_Rico
00647,Ensenada,,PR,America/Puerto_Rico
00650,Florida,,PR,America/Puerto_Rico
00652,Garrochales,,PR,America/Puerto_Rico
00653,Guanica,,PR,America/Puerto_Rico
00656,Guayanilla,,PR,America/Puerto_Rico
00659,Hatillo,,PR,America/Puerto_Rico
00660,Hormigueros,,PR,America/Puerto_Rico
00662,Isabela,,PR,America/Puerto_Rico
00664,Jayuya,,PR,America/Puerto_Rico
00667,Lajas,,PR,America/Puerto_Rico
00669,Lares,,PR,America/Puerto_Rico
00670,Las Marias,,PR,America/Puerto_Rico
00674,Manati,,PR,America/Puerto_Rico
00676,Moca,,PR,America/Puerto_Rico
00677,Rincon,,PR,America/Puerto_Rico
00678,Quebradillas,,PR,America/Puerto_Rico
00680,Mayaguez,,PR,America/Puerto_Rico
00681,Mayaguez,,PR,America/Puerto_Rico
00682,Mayaguez,,PR,America/Puerto_Rico
00683,San German,,PR,America/Puerto_Rico
00685,San Sebastian,,PR,America/Puerto_Rico
00687,Morovis,,PR,America/Puerto_Rico
00688,Sabana Hoyos,,PR,America/Puerto_Rico
00690,San Antonio,,PR,America/Puerto_Rico
00692,Vega Alta,,PR,America/Puerto_Rico
00693,Vega Baja,,PR,America/Puerto_Rico
00694,Vega Baja,,PR,America/Puerto_Rico
00698,Yauco,,PR,America/Puerto_Rico
00703,Aguas Buenas,,PR,America/Puerto_Rico
00704,Aguirre,,PR,America/Puerto_Rico
00705,Aibonito,,PR,America/Puerto_Rico
00707,Maunabo,,PR,America/Puerto_Rico
00714,Arroyo,,PR,America/Puerto_Rico
00715,Mercedita,Ponce,PR,America/Puerto_Rico
00716,Ponce,Mercedita,PR,America/Puerto_Rico
00717,Ponce,,PR,America/Puerto_Rico
00718,Naguabo,,PR,America/Puerto_Rico
00719,Naranjito,,PR,America/Puerto_Rico
00720,Orocovis,,PR,America/Puerto_Rico
00721,Palmer,Rio Grande,PR,America/Puerto_Rico
00723,Patillas,,PR,America/Puerto_Rico
00725,Caguas,,PR,America/Puerto_Rico
00726,Caguas,,PR,America/Puerto_Rico
00727,Caguas,,PR,America/Puerto_Rico
00728,Ponce,,PR,America/Puerto_Rico
00729,Canovanas,,PR,America/Puerto_Rico
00730,Ponce,,PR,America/Puerto_Rico
00731,Ponce,,PR,America/Puerto_Rico
00732,Ponce,,PR,America/Puerto_Rico
00733,Ponce,,PR,America/Puerto_Rico
00734,Ponce,,PR,America/Puerto_Rico
00735,Ceiba,"Roosevelt Rds, Roosevelt Roads",PR,America/Puerto_Rico
00736,Cayey,,PR,America/Puerto_Rico
00737,Cayey,,PR,America/Puerto_Rico
00738,Fajardo,,PR,America/Puerto_Rico
00739,Cidra,,PR,America/Puerto_Rico
00740,Puerto Real,,PR,America/Puerto_Rico
00741,Punta Santiago,Punta Stgo,PR,America/Puerto_Rico
00742,Roosevelt Roads,"Ceiba, Roosevelt Rds",PR,America/Puerto_Rico
00744,Rio Blanco,,PR,America/Puerto_Rico
00745,Rio Grande,,PR,America/Puerto_Rico
00751,Salinas,,PR,America/Puerto_Rico
00754,San Lorenzo,,PR,America/Puerto_Rico
00757,Santa Isabel,,PR,America/Puerto_Rico
00765,Vieques,,PR,America/Puerto_Rico
00766,Villalba,,PR,America/Puerto_Rico
00767,Yabucoa,,PR,America/Puerto_Rico
00769,Coamo,,PR,America/Puerto_Rico
00771,Las Piedras,,PR,America/Puerto_Rico
00772,Loiza,,PR,America/Puerto_Rico
00773,Luquillo,,PR,America/Puerto_Rico
00775,Culebra,,PR,America/Puerto_Rico
00777,Juncos,,PR,America/Puerto_Rico
00778,Gurabo,,PR,America/Puerto_Rico
00780,Coto Laurel,Ponce,PR,America/Puerto_Rico
00782,Comerio,,PR,America/Puerto_Rico
00783,Corozal,,PR,America/Puerto_Rico
00784,Guayama,,PR,America/Puerto_Rico
00785,Guayama,,PR,America/Puerto_Rico
00786,La Plata,,PR,America/Puerto_Rico
00791,Humacao,,PR,America/Puerto_Rico
00792,Humacao,,PR,America/Puerto_Rico
00794,Barranquitas,,PR,America/Puerto_Rico
00795,Juana Diaz,,PR,America/Puerto_Rico
00801,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,America/St_Thomas
00802,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,America/St_Thomas
00803,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,America/St_Thomas
00804,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,America/St_Thomas
00805,St Thomas,,VI,America/St_Thomas
00820,Christiansted,St Croix,VI,America/St_Thomas
00821,Christiansted,,VI,America/St_Thomas
00822,Christiansted,,VI,America/St_Thomas
00823,Christiansted,St Croix,VI,America/St_Thomas
00824,Christiansted,St Croix,VI,America/St_Thomas
00830,St John,Cruz Bay,VI,America/St_Thomas
00831,St John,Cruz Bay,VI,America/St_Thomas
00840,Frederiksted,,VI,America/St_Thomas
00841,Frederiksted,,VI,America/St_Thomas
00850,Kingshill,,VI,America/St_Thomas
00851,Kingshill,,VI,America/St_Thomas
00901,San Juan,"Old San Juan, Viejo San Juan, Viejo Sn Juan",PR,America/Puerto_Rico
00902,San Juan,"Old San Juan, Viejo San Juan, Viejo Sn Juan",PR,America/Puerto_Rico
00906,San Juan,"Pta De Tierra, Puerta De Tierra",PR,America/Puerto_Rico
00907,San Juan,"Condado, Miramar, Santurce",PR,America/Puerto_Rico
00908,San Juan,,PR,America/Puerto_Rico
00909,San Juan,"Fdez Juncos, Fernandez Juncos, Minillas, Santurce",PR,America/Puerto_Rico
00910,San Juan,"Fdez Juncos, Fernandez Juncos",PR,America/Puerto_Rico
00911,San Juan,Santurce,PR,America/Puerto_Rico
00912,San Juan,Santurce,PR,America/Puerto_Rico
00913,San Juan,"Isla Verde, Santurce",PR,America/Puerto_Rico
00914,San Juan,Santurce,PR,America/Puerto_Rico
00915,San Juan,"Barrio Obrero, Bo Obrero, Santurce",PR,America/Puerto_Rico
00916,San Juan,"Barrio Obrero, Santurce",PR,America/Puerto_Rico
00917,San Juan,Hato Rey,PR,America/Puerto_Rico
00918,San Juan,,PR,America/Puerto_Rico
00919,San Juan,Hato Rey,PR,America/Puerto_Rico
00920,San Juan,"Caparra, Caparra Hills, Caparra Ter, Caparra Terrace, Pto Nuevo, Puerto Nuevo",PR,America/Puerto_Rico
00921,San Juan,"College Park, Pto Nuevo, Puerto Nuevo, Rio Piedras",PR,America/Puerto_Rico
00922,San Juan,"Caparra, Caparra Hills, Caparra Ter, Caparra Terrace",PR,America/Puerto_Rico
00923,San Juan,,PR,America/Puerto_Rico
00924,San Juan,Rio Piedras,PR,America/Puerto_Rico
